,IDs,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled,PAINS_match,Brenk_match
200,CHEMBL3896019,0.45,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,9.346787486,568.1922117520002,6,3,4.903820000000003,True,0,0.0
201,CHEMBL4111910,0.45,nM,CCOc1cc(C(=O)Nc2ncc(C)s2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,9.346787486,565.1662864360001,9,2,4.916220000000004,True,0,0.0
203,CHEMBL4108773,0.45,nM,Nc1nccn2c([C@@H]3CC[C@@H]4CC(O)C(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.346787486,551.189272288,8,3,3.4838000000000013,True,0,0.0
204,CHEMBL3955854,0.45,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)[nH]c2c(Cl)cccc2c1=O,9.346787486,574.1783112759999,5,4,4.902920000000004,True,0,0.0
205,CHEMBL4114033,0.46,nM,Cc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2ccnc(N)c12,9.337242168,549.2100077320001,7,2,4.8214200000000025,True,0,0.0
206,CHEMBL3907348,0.46,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)[nH]c2c(F)cccc2c1=O,9.337242168,554.1765616880001,5,4,4.8934200000000025,True,0,0.0
208,CHEMBL3923822,0.46,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)cc2c(F)cccn2c1=O,9.337242168,554.1765616880001,6,3,4.664820000000003,True,0,0.0
214,CHEMBL3965224,0.49,nM,Cc1c(-c2c(C#N)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)cc2c(Cl)cccn2c1=O,9.30980392,577.151681928,7,3,4.911700000000003,True,0,0.0
215,CHEMBL4114536,0.49,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@@H](C(C)(C)O)C4)cccc1-n1c(=O)[nH]c2c(F)cccc2c1=O,9.30980392,558.207861816,5,4,4.388620000000003,True,0,0.0
218,CHEMBL4062247,0.5,nM,Nc1nccn2c([C@@H]3CCC[C@H](c4nn[nH]n4)C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.301029996,548.200840016,9,3,4.599100000000003,True,0,0.0
221,CHEMBL4059483,0.5,nM,Nc1nccn2c([C@@H]3CCC[C@H](c4n[nH]c(=O)o4)C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.301029996,564.1845212559999,9,3,4.762300000000003,True,0,0.0
224,CHEMBL3900554,0.5,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,9.301029996,572.22351188,6,3,4.399020000000004,True,0,0.0
230,CHEMBL4106896,0.5,nM,COc1cc(C(=O)Nc2cc(C3CC3)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3[C@@H](C)OC(=O)N3C2)n2ccnc(N)c12,9.301029996,553.2437524720001,9,2,4.598500000000003,True,0,0.0
232,CHEMBL4871425,0.5,nM,Cn1cc(-c2nc3c(-c4ccc(CNC(=O)c5cc6c(s5)CCCC6)c(F)c4)ccnc3[nH]2)cn1,9.301029996,486.16380857600006,6,2,5.034800000000004,True,0,0.0
234,CHEMBL5087183,0.5,nM,CC(C)C1CCN(C(=O)NC2CCCCc3cc(-c4ccnc(Nc5cnn(C)c5)n4)ccc32)C1,9.301029996,473.2903087400001,6,2,5.075700000000004,True,0,0.0
237,CHEMBL5090589,0.5,nM,Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCCC4NC(=O)c3nnc(C(C)(C)C)o3)n2)cn1,9.301029996,486.2491722000001,9,2,4.498700000000003,True,0,0.0
238,CHEMBL4857263,0.5,nM,Cn1cc(-c2nc3c(-c4ccc(CNC(=O)c5cc(C(C)(C)C)no5)c(F)c4)ccnc3[nH]2)cn1,9.301029996,473.19755122800007,7,2,4.380000000000002,True,0,0.0
239,CHEMBL3652663,0.51,nM,Cc1cc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)ccc5c4=O)c3CO)cc2C(N)=O)nn1C,9.292429824,526.24408682,10,3,3.2456200000000006,True,0,0.0
244,CHEMBL4107734,0.52,nM,C=CS(=O)(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,9.283996656,476.1630596280001,8,1,3.9780000000000015,True,0,0.0
245,CHEMBL3647968,0.52,nM,C=CS(=O)(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,9.283996656,476.1630596280001,8,1,3.9780000000000015,True,0,0.0
246,CHEMBL4754459,0.52,nM,COc1cccn2c(=O)n(-c3cccc(-c4ccc(C(N)=O)c5[nH]c6cc(C(C)(C)O)ccc6c45)c3C)c(=O)cc12,9.283996656,548.2059699959999,7,3,4.395220000000003,True,0,0.0
248,CHEMBL4114251,0.52,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@H]2CN3C(=O)CC[C@@H]3CO2)n2ccnc(N)c12,9.283996656,567.184186908,9,2,3.715500000000002,True,0,0.0
